Title,Link
Have a Fucking Website (otherstrangeness.com),https://www.otherstrangeness.com/2026/03/14/have-a-fucking-website/
A Decade of Slug (terathon.com),https://terathon.com/blog/decade-slug.html
Microsoft's 'unhackable' Xbox One has been hacked by 'Bliss' (tomshardware.com),https://www.tomshardware.com/video-games/console-gaming/microsofts-unhackable-xbox-one-has-been-hacked-by-bliss-the-2013-console-finally-fell-to-voltage-glitching-allowing-the-loading-of-unsigned-code-at-every-level
More than 135 open hardware devices flashable with your own firmware (openhardware.directory),https://openhardware.directory
SSH has no Host header (exe.dev),https://blog.exe.dev/ssh-host-header
Mistral AI Releases Forge (mistral.ai),https://mistral.ai/news/forge
Python 3.15's JIT is now back on track (fidget-spinner.github.io),https://fidget-spinner.github.io/posts/jit-on-track.html
JPEG Compression (sophielwang.com),https://www.sophielwang.com/blog/jpeg
"Get Shit Done: A meta-prompting, context engineering and spec-driven dev system (github.com/gsd-build)",https://github.com/gsd-build/get-shit-done
The pleasures of poor product design (inconspicuous.info),https://www.inconspicuous.info/p/the-pleasures-of-poor-product-design
Show HN: Sub-millisecond VM sandboxes using CoW memory forking (github.com/adammiribyan),https://github.com/adammiribyan/zeroboot
A tale about fixing eBPF spinlock issues in the Linux kernel (rovarma.com),https://rovarma.com/articles/a-tale-about-fixing-ebpf-spinlock-issues-in-the-linux-kernel/
Why AI systems don't learn – On autonomous learning from cognitive science (arxiv.org),https://arxiv.org/abs/2603.15381
Unsloth Studio (unsloth.ai),https://unsloth.ai/docs/new/studio
Electron microscopy shows ‘mouse bite’ defects in semiconductors (cornell.edu),https://news.cornell.edu/stories/2026/03/electron-microscopy-shows-mouse-bite-defects-semiconductors
It Took Me 30 Years to Solve This VFX Problem – Green Screen Problem [video] (youtube.com),https://www.youtube.com/watch?v=3Ploi723hg4
Launch HN: Kita (YC W26) – Automate credit review in emerging markets,item?id=47417335
"I Simulated 38,612 Countryle Games to Find the Best Strategy (stoffregen.io)",https://stoffregen.io/posts/countryle/
Honda is killing its EVs (techcrunch.com),https://techcrunch.com/2026/03/14/honda-is-killing-its-evs-and-any-chance-of-competing-in-the-future/
Launch an autonomous AI agent with sandboxed execution in 2 lines of code (amaiya.github.io),https://amaiya.github.io/onprem/examples_agent.html
Forget Flags and Scripts: Just Rename the File (robertsdotpm.github.io),https://robertsdotpm.github.io/software_engineering/program_names_as_input.html
Leviathan (1651) (gutenberg.org),https://www.gutenberg.org/files/3207/3207-h/3207-h.htm
Ryugu asteroid samples contain all DNA and RNA building blocks (phys.org),https://phys.org/news/2026-03-ryugu-asteroid-samples-dna-rna.html
Edge.js: Run Node apps inside a WebAssembly sandbox (wasmer.io),https://wasmer.io/posts/edgejs-safe-nodejs-using-wasm-sandbox
Switzerland Built an Alternative to BGP (theregister.com),https://www.theregister.com/2026/03/17/switzerland_bgp_alternative/
Show HN: Fatal Core Dump – A debugging murder mystery played with GDB (robopenguins.com),https://www.robopenguins.com/fatal_core_dump/
Show HN: I built an interactive 3D three-body problem simulator in the browser (structuredlabs.github.io),https://structuredlabs.github.io/threebodyproblem/
Arno's Engram Keyboard Layouts (github.com/binarybottle),https://github.com/binarybottle/engram
Kagi Small Web (kagi.com),https://kagi.com/smallweb/
Spice Data (YC S19) Is Hiring a Product Specialist (ycombinator.com),https://www.ycombinator.com/companies/spice-data/jobs/P0e9MKz-product-specialist-new-grad
